feature SHAP_val importance
dn_p90 0.011449519544839859 0.022864759
dn_p75 0.00396909611299634 0.007822308
dn_p50 0.006305217742919922 0.006978518
dn_mean 0.009089897386729717 0.032258343
dn_p25 0.0033498124685138464 0.005747751
dn_p10 0.003966761287301779 0.005280552
dn_std 0.005361218936741352 0.0064944862
dn_num 0.04590075463056564 0.6132919
dn_sum 0.028206240385770798 0.033843942
dp_p90 0.020311756059527397 0.024696302
dp_p75 0.004092513117939234 0.006556147
dp_p50 0.007069024257361889 0.0074534146
dp_mean 0.002039599698036909 0.004845263
dp_p25 0.0033584635239094496 0.00572433
dp_p10 0.004260404501110315 0.004685462
dp_std 0.005692398175597191 0.00681503
dp_num 0.004077229183167219 0.010629011
dp_sum 0.045529499650001526 0.101120666
cur_p90 0.007796981371939182 0.011214524
cur_p75 0.004289306700229645 0.00894363
cur_p50 0.003142670029774308 0.005900575
cur_mean 0.006040401291102171 0.009867688
cur_p25 0.004268265329301357 0.006372449
cur_p10 0.005514549557119608 0.007139473
cur_std 0.03227021172642708 0.023865176
cur_num 0.013181362301111221 0.014233705
cur_sum 0.002701638964936137 0.0053545833
