feature SHAP_val importance
dn_p90 0.004524153657257557 0.0066060545
dn_p75 0.0036181830801069736 0.0052889218
dn_p50 0.004453163128346205 0.004361928
dn_mean 0.0020595374517142773 0.0050720675
dn_p25 0.005340189207345247 0.005251777
dn_p10 0.005561514757573605 0.005012107
dn_std 0.006588288117200136 0.0068019317
dn_num 0.014240728691220284 0.048998415
dn_sum 0.02677825093269348 0.022388117
dp_p90 0.08277325332164764 0.4068578
dp_p75 0.008705220185220242 0.014222599
dp_p50 0.0040961625054478645 0.0038946888
dp_mean 0.004733816254884005 0.005551655
dp_p25 0.004036025144159794 0.005417809
dp_p10 0.008826205506920815 0.0058754813
dp_std 0.007046821527183056 0.0056685335
dp_num 0.0031478707678616047 0.005367912
dp_sum 0.07637321949005127 0.3459452
cur_p90 0.022545868530869484 0.021542227
cur_p75 0.012122559361159801 0.017093232
cur_p50 0.006983585190027952 0.005675437
cur_mean 0.005134576465934515 0.011078607
cur_p25 0.004409720189869404 0.004956022
cur_p10 0.008174759335815907 0.00473001
cur_std 0.029002422466874123 0.016002342
cur_num 0.004186837933957577 0.00585166
cur_sum 0.004794260486960411 0.004487429
