feature SHAP_val importance
dn_p90 0.005333023611456156 0.0030720665
dn_p75 0.002867164323106408 0.0027355214
dn_p50 0.0016059820773079991 0.0018927217
dn_mean 0.0009241954539902508 0.0023245667
dn_p25 0.0025090931449085474 0.002004861
dn_p10 0.0022570746950805187 0.002011388
dn_std 0.007744550239294767 0.0041590743
dn_num 0.00463675195351243 0.00789478
dn_sum 0.006348344497382641 0.005597748
dp_p90 0.0315701849758625 0.07990754
dp_p75 0.015680495649576187 0.10563813
dp_p50 0.005266100168228149 0.00795363
dp_mean 0.06811566650867462 0.63780016
dp_p25 0.0021194808650761843 0.0019995486
dp_p10 0.004482856951653957 0.0019697924
dp_std 0.0024761951062828302 0.001778662
dp_num 0.002435486065223813 0.004107945
dp_sum 0.02312491275370121 0.021536956
cur_p90 0.014175346121191978 0.013298038
cur_p75 0.010405845008790493 0.020458465
cur_p50 0.0025177805218845606 0.0025342426
cur_mean 0.035304781049489975 0.054415226
cur_p25 0.005486061796545982 0.0045540337
cur_p10 0.001954129431396723 0.0014566699
cur_std 0.0058213272131979465 0.0026739805
cur_num 0.0032296590507030487 0.0018295677
cur_sum 0.00510760210454464 0.0043946533
