feature SHAP_val importance
dn_p90 0.00855513010174036 0.0097929435
dn_p75 0.01081128977239132 0.0033025271
dn_p50 0.0013883108040317893 0.001027933
dn_mean 0.0059191077016294 0.011643542
dn_p25 0.005673715844750404 0.0024756484
dn_p10 0.0038647563196718693 0.0013423384
dn_std 0.0027723389212042093 0.0057839407
dn_num 0.004245270974934101 0.0044833925
dn_sum 0.08805239945650101 0.5866393
dp_p90 0.06626825034618378 0.19875231
dp_p75 0.0056288898922502995 0.0023982727
dp_p50 0.002342049265280366 0.0008876242
dp_mean 0.006400648038834333 0.024008164
dp_p25 0.003180891275405884 0.0012283765
dp_p10 0.006377179175615311 0.001991279
dp_std 0.0040848348289728165 0.0010308468
dp_num 0.002381232101470232 0.0016633844
dp_sum 0.029854193329811096 0.031291034
cur_p90 0.044448886066675186 0.060698874
cur_p75 0.012224286794662476 0.008114754
cur_p50 0.008385601453483105 0.011423303
cur_mean 0.00405614310875535 0.004412344
cur_p25 0.0038915290497243404 0.0020271852
cur_p10 0.0040248362347483635 0.0012385867
cur_std 0.028177406638860703 0.018950751
cur_num 0.00437873275950551 0.0021149202
cur_sum 0.0047449893318116665 0.0012765967
