sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 

30 0.0023065 20 0.0011444 2.11 3.11 3 0.72582 0.42633 0.34196 0.35728 0.1764 0.10834 0.22629 11 3.9301 0.50638 0.4705 0.36283 0.29738 0.1079 0.022923 0.24829 3 0.89213 0.34277 0.22473 0.19359 0.17588 0.08881 0.029915 0.10596 14 2.4623 
30 0.0023065 20 0.0011444 2.11 3.11 3.5 0.62479 0.46783 0.34007 0.35488 0.23607 0.059715 0.21329 19 6.7427 0.83636 0.66334 0.49032 0.46983 0.24768 0.061046 0.28901 7 3.2888 0.33923 0.21965 0.12796 0.14892 0.056547 0.031656 0.1166 26 3.872 
30 0.0023065 20 0.0011444 2.11 3.11 4 0.57019 0.46991 0.39634 0.36809 0.21422 0.08186 0.19363 16 5.8894 0.4898 0.26107 0.13279 0.18799 0.044046 0.025653 0.17143 11 2.0679 0.36177 0.27764 0.19421 0.20313 0.1011 0.066187 0.10964 27 5.4844 
30 0.0023065 20 0.0011444 2.11 3.11 4.5 0.9047 0.80415 0.51164 0.54732 0.37448 0.18205 0.26776 18 9.8518 0.5726 0.48585 0.27133 0.2891 0.078535 0.035796 0.22988 8 2.3128 0.26587 0.17353 0.12329 0.14462 0.09813 0.047214 0.084713 26 3.76 
30 0.0023065 20 0.0011444 2.11 3.11 5 1.0206 0.54528 0.37006 0.43333 0.14452 0.10783 0.31836 14 6.0666 0.61488 0.5489 0.35572 0.32414 0.082997 0.031297 0.24593 14 4.5379 0.31989 0.23831 0.13744 0.16261 0.093613 0.031441 0.10465 28 4.5532 
30 0.0023065 20 0.0011444 2.11 3.11 5.5 0.80818 0.46778 0.28458 0.39101 0.19652 0.10703 0.28252 14 5.4742 0.46703 0.38118 0.28601 0.25027 0.0751 0.029637 0.17429 12 3.0032 0.47398 0.40032 0.33151 0.30368 0.17064 0.085703 0.15759 26 7.8957 
30 0.0023065 20 0.0011444 2.11 3.11 6 0.71238 0.54079 0.35268 0.40046 0.23529 0.117 0.21977 22 8.8102 0.53689 0.45816 0.36131 0.37632 0.29582 0.23556 0.11463 5 1.8816 0.54197 0.41539 0.31516 0.31913 0.21708 0.087398 0.14906 27 8.6166 
30 0.0023065 20 0.0011444 2.11 3.11 6.5 0.6598 0.40156 0.27539 0.30442 0.19982 0.026861 0.21653 18 5.4795 0.44204 0.42486 0.24542 0.24362 0.063095 0.038941 0.17652 8 1.949 0.34862 0.29021 0.20631 0.19516 0.08811 0.056114 0.11667 26 5.0741 
30 0.0023065 20 0.0011444 2.11 3.11 7 0.40112 0.37496 0.21924 0.2136 0.047738 0.019554 0.16787 6 1.2816 1.269 1.1245 0.65392 0.61442 0.033625 0.020448 0.54503 8 4.9154 0.54496 0.44038 0.33474 0.34176 0.28226 0.14321 0.14606 14 4.7847 
30 0.0023065 20 0.0011444 2.11 3.61 3 0.60067 0.3461 0.18077 0.26276 0.10948 0.06796 0.21074 13 3.4158 0.90223 0.60871 0.49919 0.48082 0.23639 0.14128 0.28094 20 9.6164 0.25259 0.20444 0.14717 0.14304 0.063082 0.019134 0.089692 33 4.7203 
30 0.0023065 20 0.0011444 2.11 3.61 3.5 0.9692 0.67099 0.48243 0.49975 0.25679 0.13184 0.30306 38 18.9906 0.82947 0.63257 0.4484 0.47737 0.19558 0.1228 0.33322 27 12.889 0.25565 0.19295 0.10458 0.12338 0.039204 0.0087303 0.09974 65 8.0197 
30 0.0023065 20 0.0011444 2.11 3.61 4 0.88531 0.55704 0.35015 0.38008 0.073893 0.033616 0.34345 22 8.3618 1.5278 0.81982 0.51075 0.64313 0.2588 0.078289 0.538 39 25.0821 0.35403 0.24895 0.14954 0.16117 0.054224 0.027359 0.1202 61 9.8315 
30 0.0023065 20 0.0011444 2.11 3.61 4.5 0.77983 0.55681 0.41562 0.40087 0.17287 0.063867 0.24361 27 10.8236 1.4629 0.98196 0.52882 0.64126 0.24624 0.12085 0.48104 36 23.0854 0.19875 0.16299 0.10182 0.11736 0.060165 0.035981 0.072426 63 7.3937 
30 0.0023065 20 0.0011444 2.11 3.61 5 0.56681 0.42255 0.30539 0.317 0.14305 0.053895 0.22328 32 10.1441 0.91254 0.70463 0.42838 0.50153 0.26183 0.11255 0.32402 34 17.052 0.24311 0.17433 0.10629 0.12176 0.057899 0.020628 0.088277 66 8.036 
30 0.0023065 20 0.0011444 2.11 3.61 5.5 0.8067 0.47758 0.29577 0.32987 0.068652 0.022411 0.29855 29 9.5663 0.86477 0.70981 0.39932 0.43758 0.14489 0.084223 0.29731 33 14.4401 0.49569 0.32886 0.22391 0.2281 0.089983 0.023156 0.17332 62 14.1421 
30 0.0023065 20 0.0011444 2.11 3.61 6 0.73748 0.3907 0.21998 0.30119 0.11789 0.060555 0.27087 40 12.0476 0.50402 0.34613 0.23213 0.27978 0.1316 0.12548 0.17845 21 5.8755 0.45273 0.33147 0.25781 0.24706 0.11423 0.053796 0.15154 61 15.0704 
30 0.0023065 20 0.0011444 2.11 3.61 6.5 0.54743 0.41827 0.27462 0.27317 0.11126 0.041101 0.18986 36 9.8342 0.94932 0.65145 0.46563 0.47274 0.19531 0.081983 0.33299 29 13.7093 0.34923 0.26562 0.18166 0.18794 0.084289 0.055692 0.11621 65 12.2161 
30 0.0023065 20 0.0011444 2.11 3.61 7 0.44352 0.40357 0.14392 0.2381 0.074075 0.014631 0.21632 15 3.5715 1.269 0.87336 0.43008 0.55645 0.23734 0.043172 0.43856 18 10.016 0.43668 0.27888 0.18759 0.21373 0.10563 0.042451 0.14416 33 7.0531 
30 0.0023065 20 0.0011444 2.11 4.11 3 1.2017 0.91028 0.41937 0.58502 0.29197 0.09652 0.415 11 6.4352 0.96575 0.72871 0.50804 0.53343 0.26606 0.13686 0.33587 24 12.8024 0.34924 0.27204 0.15336 0.17651 0.066209 0.020275 0.12533 35 6.1778 
30 0.0023065 20 0.0011444 2.11 4.11 3.5 0.7603 0.6273 0.41937 0.46451 0.2491 0.090919 0.30497 27 12.5418 0.9477 0.79053 0.4948 0.52591 0.22071 0.133 0.34228 41 21.5624 0.41639 0.28914 0.1536 0.19438 0.069499 0.024269 0.15253 68 13.2178 
30 0.0023065 20 0.0011444 2.11 4.11 4 0.86685 0.54435 0.37517 0.42435 0.24558 0.078521 0.29241 29 12.3062 1.6222 1.1282 0.6606 0.75294 0.31812 0.10704 0.5547 39 29.3647 0.31574 0.2207 0.1196 0.14852 0.054093 0.017038 0.11647 68 10.0993 
30 0.0023065 20 0.0011444 2.11 4.11 4.5 1.031 0.53676 0.40083 0.42602 0.19893 0.069777 0.31983 24 10.2246 1.209 0.72666 0.4629 0.56222 0.27867 0.141 0.39266 43 24.1753 0.26554 0.20209 0.15122 0.14721 0.069192 0.01799 0.092395 67 9.8632 
30 0.0023065 20 0.0011444 2.11 4.11 5 0.55845 0.42291 0.22674 0.29491 0.13421 0.090371 0.221 23 6.7829 0.89839 0.70627 0.32759 0.42083 0.15118 0.060577 0.33992 45 18.9372 0.26353 0.18357 0.13172 0.13932 0.065056 0.026073 0.10005 68 9.474 
30 0.0023065 20 0.0011444 2.11 4.11 5.5 0.41345 0.37063 0.22282 0.23768 0.10554 0.044192 0.17132 30 7.1305 0.99065 0.73204 0.41508 0.48375 0.19057 0.095797 0.33279 37 17.8987 0.4264 0.30415 0.16111 0.19682 0.058961 0.021219 0.16137 67 13.187 
30 0.0023065 20 0.0011444 2.11 4.11 6 0.48042 0.30215 0.21611 0.23137 0.10647 0.048859 0.15957 33 7.6353 0.9354 0.63973 0.32609 0.44243 0.21252 0.12298 0.3096 35 15.485 0.32406 0.25466 0.1504 0.17857 0.084862 0.045436 0.1289 68 12.143 
30 0.0023065 20 0.0011444 2.11 4.11 6.5 0.63411 0.44454 0.2987 0.35183 0.21643 0.10739 0.20962 34 11.9623 0.98045 0.87336 0.49815 0.52275 0.17864 0.079234 0.35815 34 17.7735 0.30964 0.24853 0.13886 0.15659 0.060669 0.049345 0.10912 68 10.6482 
30 0.0023065 20 0.0011444 2.11 4.11 7 0.80734 0.58063 0.31747 0.38927 0.17235 0.14462 0.24677 18 7.0068 1.0178 0.87923 0.57741 0.54923 0.20393 0.090044 0.354 17 9.3369 0.24872 0.18194 0.10019 0.13198 0.058086 0.027122 0.10393 35 4.6192 
30 0.0023065 20 0.0011444 2.11 4.61 3 0.77464 0.48168 0.41937 0.47514 0.36965 0.28903 0.227 11 5.2265 0.87473 0.51862 0.36051 0.41688 0.31276 0.089347 0.28301 7 2.9181 0.32122 0.24359 0.13464 0.14757 0.046984 0.019836 0.11156 18 2.6563 
30 0.0023065 20 0.0011444 2.11 4.61 3.5 0.45774 0.3939 0.25506 0.22705 0.044169 0.023894 0.18304 9 2.0435 0.85021 0.65292 0.41404 0.4601 0.25089 0.11161 0.26808 25 11.5024 0.35737 0.27278 0.18256 0.19614 0.086723 0.046935 0.13626 34 6.6689 
30 0.0023065 20 0.0011444 2.11 4.61 4 1.0106 0.64624 0.34855 0.43834 0.14256 0.084026 0.34634 16 7.0134 0.67282 0.5942 0.31574 0.33767 0.10045 0.032579 0.27785 18 6.0781 0.58229 0.40474 0.2249 0.25938 0.091751 0.016737 0.20577 34 8.8188 
30 0.0023065 20 0.0011444 2.11 4.61 4.5 1.0838 0.78669 0.51306 0.54136 0.30728 0.047971 0.34802 19 10.2859 0.69525 0.47189 0.301 0.34471 0.12421 0.079148 0.22355 14 4.826 0.26858 0.22287 0.18367 0.17487 0.08217 0.028788 0.12203 33 5.7706 
30 0.0023065 20 0.0011444 2.11 4.61 5 0.77313 0.48695 0.2051 0.30949 0.075476 0.027298 0.29177 19 5.8802 0.57005 0.32025 0.11008 0.2119 0.06598 0.032252 0.21874 12 2.5427 0.34264 0.24649 0.1723 0.17761 0.096319 0.024263 0.1238 31 5.5059 
30 0.0023065 20 0.0011444 2.11 4.61 5.5 0.80703 0.51265 0.37579 0.39155 0.206 0.044628 0.2714 24 9.3973 0.36903 0.23501 0.11676 0.15443 0.048516 0.032893 0.1326 8 1.2354 0.31682 0.21707 0.14032 0.16209 0.063561 0.039115 0.11491 32 5.1867 
30 0.0023065 20 0.0011444 2.11 4.61 6 0.69245 0.41867 0.31035 0.31744 0.12702 0.036418 0.22843 16 5.079 0.78862 0.55588 0.39808 0.41152 0.25668 0.086412 0.24708 17 6.9959 0.33434 0.228 0.162 0.16983 0.070824 0.023125 0.11407 33 5.6045 
30 0.0023065 20 0.0011444 2.11 4.61 6.5 0.46173 0.38133 0.23837 0.27673 0.16518 0.11056 0.14889 28 7.7484 0.38957 0.31302 0.14587 0.17575 0.051486 0.005275 0.15258 6 1.0545 0.33766 0.25333 0.16196 0.17239 0.054874 0.031437 0.11993 34 5.8612 
30 0.0023065 20 0.0011444 2.11 4.61 7 0.70567 0.49822 0.21319 0.32872 0.17328 0.075881 0.23698 15 4.9308 0.52075 0.44257 0.20804 0.28325 0.14272 0.12095 0.21024 3 0.84974 0.3463 0.16829 0.087871 0.13534 0.043087 0.022479 0.12653 18 2.436 
30 0.0023065 20 0.0011444 2.11 5.11 3 0.44692 0.44692 0.44692 0.44692 0.44692 0.44692 0 1 0.44692 0 0 0 0 0 0 0 0 0 0.12206 0.12206 0.12206 0.12206 0.12206 0.12206 0 1 0.12206 
30 0.0023065 20 0.0011444 2.11 5.11 3.5 0.027236 0.027236 0.027236 0.027236 0.027236 0.027236 0 1 0.027236 0.28105 0.28105 0.28105 0.28105 0.28105 0.28105 0 1 0.28105 0.088486 0.088486 0.049453 0.049453 0.010419 0.010419 0.055202 2 0.098906 
30 0.0023065 20 0.0011444 2.11 5.11 4 0.050732 0.050732 0.050732 0.050732 0.050732 0.050732 0 1 0.050732 0.1312 0.1312 0.1312 0.1312 0.1312 0.1312 0 1 0.1312 0.14594 0.14594 0.073122 0.073122 0.0003049 0.0003049 0.10298 2 0.14624 
30 0.0023065 20 0.0011444 2.11 5.11 4.5 0.50313 0.50313 0.25948 0.25948 0.015839 0.015839 0.34457 2 0.51897 0 0 0 0 0 0 0 0 0 0.34953 0.34953 0.2666 0.2666 0.18367 0.18367 0.11728 2 0.5332 
30 0.0023065 20 0.0011444 2.11 5.11 5 0 0 0 0 0 0 0 0 0 0.11807 0.11807 0.064369 0.064369 0.010665 0.010665 0.075949 2 0.12874 0.48538 0.48538 0.38049 0.38049 0.2756 0.2756 0.14834 2 0.76098 
30 0.0023065 20 0.0011444 2.11 5.11 5.5 0.38852 0.38852 0.31781 0.31781 0.24709 0.24709 0.10001 2 0.63561 0 0 0 0 0 0 0 0 0 0.4494 0.4494 0.32077 0.32077 0.19215 0.19215 0.1819 2 0.64155 
30 0.0023065 20 0.0011444 2.11 5.11 6 0.31857 0.31857 0.31857 0.31857 0.31857 0.31857 0 1 0.31857 0.39249 0.39249 0.39249 0.39249 0.39249 0.39249 0 1 0.39249 0.37252 0.37252 0.28567 0.28567 0.19881 0.19881 0.12283 2 0.57133 
