sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 

5 0.0024086 5 0.0024086 3.4 4.2 3 0 0 0 0 0 0 0 0 0 4.5873 4.0443 3.3048 2.5308 0.46522 0.41731 1.9539 5 12.6539 0.22512 0.20098 0.17593 0.17046 0.13994 0.10487 0.049503 4 0.68185 
5 0.0024086 5 0.0024086 3.4 4.2 3.5 0 0 0 0 0 0 0 0 0 2.7369 2.2201 1.1003 1.3224 0.42477 0.35221 1.1207 4 5.2898 0.294 0.23794 0.10291 0.1294 0.020869 0.017787 0.13345 4 0.51762 
5 0.0024086 5 0.0024086 3.4 4.2 4 3.4314 2.52 1.0488 1.4643 0.34275 0.19627 1.3173 8 11.7141 0.040586 0.040586 0.040586 0.040586 0.040586 0.040586 0 1 0.040586 1.0284 0.73243 0.51992 0.61096 0.41789 0.34975 0.26147 9 5.4986 
5 0.0024086 5 0.0024086 3.4 4.2 4.5 4.1883 2.4457 0.53205 1.3825 0.31926 0.27761 1.8795 4 5.53 6.9939 5.9009 1.4997 3.0459 0.94938 0.31998 2.8287 7 21.3212 1.5962 1.1123 0.19459 0.57 0.062196 0.036154 0.67071 11 6.27 
5 0.0024086 5 0.0024086 3.4 4.2 5 0 0 0 0 0 0 0 0 0 6.8001 4.7725 3.5708 3.456 1.5986 0.91829 2.2149 9 31.104 1.9524 1.4478 1.0425 0.98832 0.51036 0.10028 0.67756 9 8.8949 
5 0.0024086 5 0.0024086 3.4 4.2 5.5 0 0 0 0 0 0 0 0 0 2.1789 1.8258 1.1286 1.2538 0.63437 0.42683 0.68915 16 20.0613 0.59888 0.39192 0.21962 0.27532 0.12619 0.064554 0.19937 16 4.4051 
5 0.0024086 5 0.0024086 3.4 4.2 6 2.9959 1.528 0.77573 1.2415 0.63203 0.17888 1.0954 14 17.3813 0.81945 0.62004 0.40425 0.42731 0.23458 0.081275 0.30283 4 1.7092 1.0077 0.92568 0.60255 0.66428 0.46945 0.34297 0.3013 18 11.9571 
5 0.0024086 5 0.0024086 3.4 4.2 6.5 4.0253 3.1543 2.105 2.1036 0.89051 0.37637 1.3876 9 18.9327 1.4756 1.4756 0.75361 0.75361 0.031639 0.031639 1.021 2 1.5072 1.9512 1.4862 0.98005 1.0118 0.36019 0.2859 0.6372 11 11.1294 
5 0.0024086 5 0.0024086 3.4 4.2 7 0 0 0 0 0 0 0 0 0 1.8967 1.8045 1.4756 1.3417 0.84032 0.67642 0.52848 7 9.392 0.78044 0.28238 0.23562 0.28175 0.1062 0.064584 0.28905 7 1.9722 
5 0.0024086 5 0.0024086 3.4 4.7 3 0.38576 0.38576 0.29965 0.29965 0.21354 0.21354 0.12177 2 0.5993 2.7937 1.2566 0.61389 0.97344 0.17979 0.11948 1.0767 24 23.3626 0.19019 0.14952 0.092131 0.096221 0.039267 0.017879 0.066326 26 2.5017 
5 0.0024086 5 0.0024086 3.4 4.7 3.5 1.2974 0.74426 0.24184 0.44066 0.062583 0.047814 0.47261 17 7.4913 1.679 0.91087 0.37108 0.7107 0.18331 0.09958 0.82088 26 18.4781 0.25069 0.14181 0.076171 0.12191 0.024773 0.018524 0.15229 43 5.2423 
5 0.0024086 5 0.0024086 3.4 4.7 4 3.0107 1.8633 0.60284 1.1794 0.32996 0.12001 1.1487 45 53.0741 0.0020647 0.0020647 0.0020647 0.0020647 0.0020647 0.0020647 0 1 0.0020647 0.87031 0.70148 0.31584 0.425 0.13889 0.063615 0.35003 46 19.55 
5 0.0024086 5 0.0024086 3.4 4.7 4.5 3.6798 2.3618 0.52359 1.2894 0.27818 0.12114 1.3635 36 46.4182 4.2439 4.0897 2.0564 2.2746 0.24612 0.14568 1.8242 11 25.021 1.3984 0.91542 0.25572 0.56665 0.091056 0.033397 0.61857 47 26.6327 
5 0.0024086 5 0.0024086 3.4 4.7 5 0.36092 0.22917 0.11694 0.15273 0.071627 0.0075607 0.13259 5 0.76365 3.753 3.0083 2.0434 1.8064 0.29135 0.14353 1.4175 42 75.8698 1.6743 1.2698 0.50709 0.76601 0.20493 0.11392 0.64296 47 36.0023 
5 0.0024086 5 0.0024086 3.4 4.7 5.5 0.2006 0.10077 0.063726 0.073647 0.02252 0.0095866 0.07508 5 0.36823 2.6998 2.052 0.84169 1.143 0.18879 0.081275 1.02 45 51.4367 0.89196 0.48102 0.27264 0.35903 0.12673 0.06469 0.32826 50 17.9514 
5 0.0024086 5 0.0024086 3.4 4.7 6 1.2277 0.71626 0.39375 0.52506 0.16716 0.031491 0.50693 31 16.277 1.0501 0.76499 0.34039 0.41514 0.081944 0.031227 0.39088 19 7.8877 1.1175 0.71596 0.29146 0.4432 0.14563 0.034248 0.40669 50 22.1598 
5 0.0024086 5 0.0024086 3.4 4.7 6.5 1.8195 0.98094 0.49313 0.72222 0.23524 0.1147 0.66467 40 28.8888 0.7971 0.36797 0.1797 0.25155 0.029192 0.025688 0.31758 5 1.2578 1.3994 1.238 0.33031 0.6197 0.12285 0.04468 0.56305 45 27.8866 
5 0.0024086 5 0.0024086 3.4 4.7 7 0.86787 0.2668 0.16522 0.27324 0.088444 0.040584 0.34947 8 2.1859 1.7592 0.96999 0.29939 0.64437 0.22493 0.036282 0.63483 18 11.5987 0.59241 0.33031 0.12165 0.24795 0.067565 0.017837 0.27502 26 6.4468 
5 0.0024086 5 0.0024086 3.4 5.2 3 0.87855 0.70158 0.19672 0.358 0.094469 0.039446 0.35697 7 2.506 1.1949 0.75087 0.43967 0.52722 0.25165 0.14014 0.38828 18 9.4899 0.26317 0.22905 0.091623 0.14016 0.041766 0.023097 0.12436 25 3.5041 
5 0.0024086 5 0.0024086 3.4 5.2 3.5 0.87629 0.45773 0.20123 0.31498 0.059064 0.037223 0.33539 26 8.1894 0.79587 0.47557 0.2718 0.35408 0.11486 0.027031 0.30205 22 7.7897 0.31619 0.16614 0.078362 0.13375 0.034266 0.022007 0.15015 48 6.4201 
5 0.0024086 5 0.0024086 3.4 5.2 4 2.0193 1.14 0.592 0.80192 0.24814 0.080107 0.66087 41 32.8787 0.52704 0.27438 0.10054 0.17735 0.0082646 0.0014826 0.21356 7 1.2415 0.67012 0.48404 0.22486 0.28757 0.067993 0.022091 0.24552 48 13.8032 
5 0.0024086 5 0.0024086 3.4 5.2 4.5 2.0772 0.59685 0.33317 0.70601 0.14413 0.027673 0.89297 34 24.0043 2.9819 2.3993 0.40414 1.2412 0.16919 0.022987 1.2668 18 22.3422 1.1977 0.63568 0.26497 0.44595 0.1279 0.058328 0.42714 52 23.1893 
5 0.0024086 5 0.0024086 3.4 5.2 5 0.32831 0.26727 0.11727 0.15468 0.033204 0.019824 0.13521 12 1.8562 3.2511 2.895 2.5091 2.024 0.44399 0.044018 1.2068 42 85.0092 1.3922 1.225 0.83086 0.83088 0.39621 0.25263 0.43864 54 44.8675 
5 0.0024086 5 0.0024086 3.4 5.2 5.5 0.79478 0.42034 0.15996 0.29046 0.094588 0.056347 0.2805 13 3.776 2.7878 2.348 1.3163 1.3923 0.36138 0.074535 1.0318 42 58.4756 0.96623 0.47903 0.30471 0.38913 0.17042 0.076825 0.33399 55 21.4021 
5 0.0024086 5 0.0024086 3.4 5.2 6 0.72282 0.46894 0.23786 0.31766 0.12989 0.048311 0.25163 33 10.4829 1.3723 0.90424 0.36908 0.51685 0.039824 0.024054 0.55362 22 11.3707 1.2599 0.83056 0.22005 0.481 0.10544 0.01821 0.49118 55 26.4548 
5 0.0024086 5 0.0024086 3.4 5.2 6.5 1.0286 0.55632 0.26193 0.43421 0.11419 0.054385 0.48975 43 18.671 0.73802 0.16688 0.07728 0.19056 0.037153 0.029871 0.26911 12 2.2867 1.4893 1.2726 0.37025 0.67855 0.17472 0.091355 0.5946 55 37.3201 
5 0.0024086 5 0.0024086 3.4 5.2 7 0.49324 0.35655 0.16568 0.21205 0.055666 0.02126 0.18786 11 2.3325 1.1224 0.63742 0.21219 0.42244 0.097547 0.038204 0.5295 17 7.1814 0.55467 0.37232 0.204 0.25731 0.06598 0.037063 0.25861 28 7.2046 
5 0.0024086 5 0.0024086 3.4 5.7 3 0 0 0 0 0 0 0 0 0 1.9695 0.77818 0.43532 0.66114 0.20094 0.16504 0.73918 7 4.628 0.33275 0.3036 0.223 0.18065 0.043553 0.014597 0.13692 7 1.2645 
5 0.0024086 5 0.0024086 3.4 5.7 3.5 0.93652 0.46525 0.24485 0.35273 0.10363 0.031602 0.36021 14 4.9382 0.64736 0.56147 0.35738 0.36325 0.16503 0.090875 0.24692 4 1.453 0.49744 0.17108 0.12821 0.18565 0.070506 0.055427 0.18332 18 3.3417 
5 0.0024086 5 0.0024086 3.4 5.7 4 2.0366 1.249 0.78703 0.97494 0.63901 0.50393 0.55944 21 20.4737 0 0 0 0 0 0 0 0 0 0.68792 0.58967 0.38244 0.40214 0.24277 0.14852 0.20498 21 8.4449 
5 0.0024086 5 0.0024086 3.4 5.7 4.5 1.5379 0.66414 0.48604 0.58711 0.2022 0.067549 0.56932 21 12.3292 2.3993 1.8245 0.10002 0.84293 0.047074 0.029427 1.3484 3 2.5288 0.83101 0.70502 0.3242 0.4343 0.17432 0.11583 0.30119 24 10.4232 
5 0.0024086 5 0.0024086 3.4 5.7 5 0.48383 0.37365 0.17393 0.23281 0.10206 0.067998 0.17072 11 2.561 3.2583 2.7448 1.6146 1.5989 0.22903 0.054087 1.3006 15 23.9834 1.2145 1.0848 0.8943 0.84846 0.53721 0.39724 0.30833 26 22.0599 
5 0.0024086 5 0.0024086 3.4 5.7 5.5 0.76408 0.40409 0.3229 0.37761 0.23774 0.18031 0.22583 6 2.2656 1.9315 1.5624 0.98619 1.0283 0.52001 0.21016 0.67793 20 20.5659 1.0753 0.59627 0.38434 0.43454 0.1581 0.035294 0.36977 26 11.298 
5 0.0024086 5 0.0024086 3.4 5.7 6 0.99815 0.73465 0.48665 0.49296 0.20146 0.071284 0.33425 18 8.8733 1.3189 1.0327 0.82345 0.77555 0.31423 0.23236 0.46551 11 8.5311 1.2257 0.7128 0.34246 0.46967 0.10275 0.05727 0.47931 29 13.6204 
5 0.0024086 5 0.0024086 3.4 5.7 6.5 0.97605 0.77149 0.47299 0.48439 0.25567 0.054986 0.32809 22 10.6567 0.28306 0.22776 0.12376 0.1421 0.056447 0.037839 0.10978 4 0.56842 1.6556 1.4893 0.52985 0.79277 0.37025 0.11916 0.61157 26 20.6119 
5 0.0024086 5 0.0024086 3.4 5.7 7 0.54581 0.4596 0.25567 0.27894 0.10871 0.062139 0.19507 7 1.9526 0.80184 0.37461 0.17742 0.2786 0.097547 0.077251 0.29878 5 1.393 0.59905 0.51585 0.39733 0.36687 0.19702 0.080083 0.197 12 4.4025 
