sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 

12 0.00083913 8 0.00083913 2.6 3.275 3 1.7364 1.4846 1.2736 1.181 0.85674 0.51003 0.4748 8 9.4478 0.2707 0.2707 0.2707 0.2707 0.2707 0.2707 0 1 0.2707 0.3227 0.21724 0.15999 0.15143 0.048651 0.020103 0.11492 9 1.3629 
12 0.00083913 8 0.00083913 2.6 3.275 3.5 0.76798 0.66838 0.50474 0.4569 0.1804 0.043878 0.28164 10 4.569 0.91187 0.48292 0.26603 0.36931 0.1929 0.060247 0.33947 10 3.6931 0.47622 0.3584 0.27116 0.25987 0.11455 0.045605 0.18053 20 5.1975 
12 0.00083913 8 0.00083913 2.6 3.275 4 1.3512 1.1199 0.77828 0.83847 0.55189 0.44369 0.35186 7 5.8693 0.93537 0.74699 0.48292 0.54258 0.36304 0.27583 0.24703 11 5.9684 0.33403 0.22332 0.15024 0.1671 0.087287 0.020517 0.13042 18 3.0078 
12 0.00083913 8 0.00083913 2.6 3.275 4.5 1.009 0.77647 0.53656 0.52461 0.24005 0.033781 0.37849 10 5.2461 0.75616 0.39477 0.30211 0.3406 0.19187 0.069954 0.25389 6 2.0436 0.33427 0.19703 0.11519 0.14049 0.053719 0.010387 0.11076 14 1.9668 
12 0.00083913 8 0.00083913 2.6 3.275 5 1.2213 0.73596 0.55576 0.54783 0.10022 0.046522 0.44404 10 5.4783 1.0435 0.79932 0.16275 0.37568 0.053876 0.029333 0.44746 7 2.6298 0.32855 0.29694 0.14055 0.17724 0.072652 0.040654 0.1181 17 3.013 
12 0.00083913 8 0.00083913 2.6 3.275 5.5 1.9523 1.1049 0.64072 0.80638 0.19968 0.068188 0.74127 9 7.2574 0.2605 0.25711 0.23264 0.20223 0.14735 0.083132 0.082297 4 0.80892 0.45591 0.32614 0.23787 0.22878 0.12326 0.023003 0.15739 13 2.9742 
12 0.00083913 8 0.00083913 2.6 3.275 6 1.3553 1.0482 0.7819 0.72096 0.23179 0.079484 0.49073 9 6.4887 0.3829 0.36124 0.33408 0.25392 0.057797 0.0517 0.15574 6 1.5235 0.37416 0.22596 0.098629 0.1592 0.030496 0.011263 0.14752 15 2.388 
12 0.00083913 8 0.00083913 2.6 3.275 6.5 1.4404 1.0593 0.7593 0.71099 0.25958 0.12724 0.50346 9 6.3989 0.48475 0.46091 0.26995 0.26971 0.1167 0.049093 0.17784 10 2.6971 0.38038 0.32561 0.18327 0.19428 0.040576 0.009444 0.14338 19 3.6912 
12 0.00083913 8 0.00083913 2.6 3.275 7 1.0151 0.98504 0.80728 0.6442 0.24488 0.054658 0.41183 7 4.5094 0.36556 0.35906 0.33957 0.26236 0.14635 0.081948 0.15678 3 0.78707 0.16766 0.078838 0.055134 0.065067 0.019284 0.0039254 0.066402 10 0.65067 
12 0.00083913 8 0.00083913 2.6 3.775 3 1.4276 0.86469 0.63274 0.6356 0.23303 0.064385 0.48689 27 17.1611 0.88362 0.77826 0.6665 0.56859 0.29411 0.2363 0.28056 5 2.8429 0.25066 0.16831 0.091185 0.12045 0.044032 0.015836 0.10744 32 3.8544 
12 0.00083913 8 0.00083913 2.6 3.775 3.5 1.0183 0.70482 0.52497 0.54416 0.2789 0.15497 0.34424 43 23.3988 0.70098 0.46013 0.22139 0.29292 0.10371 0.042895 0.24176 20 5.8584 0.33259 0.18915 0.097781 0.12951 0.035449 0.020008 0.11818 63 8.159 
12 0.00083913 8 0.00083913 2.6 3.775 4 0.96793 0.64657 0.43181 0.5646 0.29409 0.11722 0.49987 32 18.0673 0.61944 0.51212 0.34565 0.33955 0.1215 0.068554 0.23796 24 8.1492 0.39453 0.29994 0.16557 0.19928 0.088114 0.023805 0.1424 56 11.1598 
