sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 

40 0.0068199 35 0.0064197 3.575 4.0875 3 0.3454 0.23987 0.14482 0.15917 0.061 0.041476 0.12072 9 1.4325 0 0 0 0 0 0 0 0 0 0.14142 0.12397 0.098992 0.10035 0.086032 0.053119 0.032677 9 0.90314 
40 0.0068199 35 0.0064197 3.575 4.0875 3.5 0.39336 0.24782 0.12334 0.17191 0.084082 0.054315 0.12265 12 2.0629 0 0 0 0 0 0 0 0 0 0.13914 0.10157 0.089445 0.091148 0.072329 0.058575 0.027851 12 1.0938 
40 0.0068199 35 0.0064197 3.575 4.0875 4 0.23731 0.16903 0.13754 0.14451 0.11067 0.056241 0.077421 12 1.7342 0.091726 0.07512 0.025303 0.041431 0.011773 0.0072629 0.044481 3 0.12429 0.11348 0.10725 0.083791 0.091632 0.076488 0.068609 0.018863 15 1.3745 
40 0.0068199 35 0.0064197 3.575 4.0875 4.5 0.29333 0.27013 0.20209 0.20243 0.14401 0.068832 0.085773 16 3.2389 0 0 0 0 0 0 0 0 0 0.12822 0.11016 0.08923 0.091478 0.075667 0.055653 0.023823 16 1.4637 
40 0.0068199 35 0.0064197 3.575 4.0875 5 0.40226 0.32719 0.282 0.2865 0.22506 0.19108 0.07985 16 4.584 0 0 0 0 0 0 0 0 0 0.12086 0.099335 0.081043 0.085878 0.066194 0.06269 0.026843 16 1.3741 
40 0.0068199 35 0.0064197 3.575 4.0875 5.5 0.38483 0.29965 0.19723 0.21864 0.12649 0.11526 0.10095 16 3.4982 0 0 0 0 0 0 0 0 0 0.12489 0.11799 0.082865 0.08741 0.066639 0.038986 0.037531 16 1.3986 
40 0.0068199 35 0.0064197 3.575 4.0875 6 0.21029 0.18535 0.1264 0.13112 0.08656 0.055349 0.059173 13 1.7045 0.10211 0.10211 0.066129 0.066129 0.030145 0.030145 0.050889 2 0.13226 0.12513 0.088918 0.079239 0.083264 0.064994 0.059675 0.024925 15 1.249 
40 0.0068199 35 0.0064197 3.575 4.0875 6.5 0.21577 0.17684 0.11748 0.13212 0.094037 0.057606 0.060777 12 1.5855 0.030145 0.030145 0.030145 0.030145 0.030145 0.030145 0 1 0.030145 0.094467 0.081566 0.071999 0.066583 0.042164 0.032546 0.026663 13 0.86558 
40 0.0068199 35 0.0064197 3.575 4.0875 7 0.35592 0.32338 0.20382 0.22738 0.15448 0.10825 0.097802 8 1.819 0 0 0 0 0 0 0 0 0 0.10848 0.10288 0.080076 0.082895 0.071655 0.052719 0.021915 8 0.66316 
