sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 

20 0.0054385 5 0.00050149 3.51 3.75 3 1.586 1.155 0.5762 0.77124 0.38747 0.34654 0.56687 4 3.085 3.691 2.9093 1.7275 1.874 0.66789 0.61852 1.3148 5 9.3702 1.1821 0.93618 0.85604 0.83615 0.67742 0.492 0.25537 9 7.5254 
20 0.0054385 5 0.00050149 3.51 3.75 3.5 3.437 2.796 1.8182 2.0261 1.3366 0.1417 1.3221 17 34.4433 2.4645 1.623 1.2849 1.2342 0.63026 0.43146 0.78281 7 8.6392 1.5605 1.1022 0.7929 0.88637 0.45905 0.28387 0.50952 24 21.2729 
20 0.0054385 5 0.00050149 3.51 3.75 4 2.3111 1.3833 0.7583 0.98382 0.4643 0.15076 0.77697 18 17.7088 0.69217 0.47846 0.24715 0.33686 0.16375 0.13769 0.21936 9 3.0317 1.0045 0.70291 0.36529 0.44921 0.1402 0.01858 0.39389 27 12.1287 
20 0.0054385 5 0.00050149 3.51 3.75 4.5 2.2389 2.0948 0.89795 1.1123 0.10813 0.050534 1.0209 17 18.9092 5.0065 2.4208 1.2631 1.8754 0.44686 0.20893 1.8076 11 20.6293 1.8959 1.2157 0.44862 0.7618 0.1902 0.056761 0.75741 28 21.3304 
20 0.0054385 5 0.00050149 3.51 3.75 5 3.0336 2.6222 2.0954 1.9556 0.69696 0.19835 1.4184 16 31.2901 3.1495 2.3386 2.121 1.8963 1.0349 0.55977 1.0583 11 20.8589 1.6496 1.4079 0.93686 0.87766 0.31507 0.18466 0.55956 27 23.6969 
20 0.0054385 5 0.00050149 3.51 3.75 5.5 1.3841 1.1431 0.79104 0.83523 0.52738 0.37473 0.425 4 3.3409 2.3537 2.1686 1.4064 1.5074 0.97313 0.61298 0.71266 24 36.1767 1.6277 1.0532 0.72386 0.73819 0.14471 0.078894 0.57284 28 20.6694 
20 0.0054385 5 0.00050149 3.51 3.75 6 1.8123 1.0704 0.81758 0.89708 0.47831 0.34996 0.56337 8 7.1766 3.0071 1.881 1.0837 1.4021 0.75884 0.54856 0.93197 20 28.0417 1.1856 0.9407 0.65849 0.6213 0.32688 0.076753 0.37825 28 17.3964 
20 0.0054385 5 0.00050149 3.51 3.75 6.5 2.4033 2.1632 0.72907 1.0517 0.1721 0.095545 1.008 6 6.3104 3.3759 2.8853 2.1971 2.125 1.3468 0.47533 1.0443 23 48.8753 1.2831 1.1895 0.88556 0.84438 0.56761 0.30069 0.37409 29 24.4869 
20 0.0054385 5 0.00050149 3.51 3.75 7 2.5928 2.4408 1.887 1.7802 1.1662 0.67749 0.76971 8 14.2414 0.35669 0.33489 0.29628 0.26827 0.23752 0.066089 0.11586 5 1.3413 1.3878 1.1266 0.5094 0.71314 0.22442 0.17641 0.50887 13 9.2708 
20 0.0054385 5 0.00050149 3.51 4.25 3 1.1054 0.55205 0.41191 0.56159 0.06591 0.051885 0.77189 14 7.8623 3.3792 2.1192 1.2996 1.7274 0.85536 0.39215 1.5147 23 39.7299 1.5424 1.0418 0.61549 0.7433 0.26551 0.10748 0.60669 37 27.5022 
20 0.0054385 5 0.00050149 3.51 4.25 3.5 3.3997 1.6149 0.77894 1.1581 0.3457 0.066321 1.1198 36 41.6904 4.5491 2.3377 1.3951 1.9878 0.80806 0.33968 1.9295 59 117.2776 1.7737 1.0834 0.63952 0.8135 0.37699 0.18027 0.62185 95 77.2827 
20 0.0054385 5 0.00050149 3.51 4.25 4 2.4767 1.3479 0.77131 1.0202 0.39473 0.13095 0.92366 26 26.5262 6.6098 4.009 2.4141 3.0854 1.1534 0.24646 2.8634 73 225.2352 2.1841 1.3279 0.6583 1.0203 0.29623 0.088345 1.1394 99 101.0123 
20 0.0054385 5 0.00050149 3.51 4.25 4.5 10.4829 3.1801 2.1036 3.6405 0.89795 0.40178 5.5196 54 196.5877 5.5623 3.7114 2.3448 2.6732 0.70643 0.24913 2.3821 43 114.947 3.3871 1.5333 0.78742 1.2648 0.35833 0.15218 1.4665 97 122.681 
20 0.0054385 5 0.00050149 3.51 4.25 5 3.1256 2.5477 1.6313 1.7453 0.68196 0.27117 1.221 69 120.4242 3.1879 2.432 1.2681 1.7329 0.43441 0.13407 1.7938 30 51.9879 2.0352 1.6649 1.0984 1.136 0.48516 0.19133 0.70524 99 112.4592 
20 0.0054385 5 0.00050149 3.51 4.25 5.5 2.0605 0.94071 0.49188 0.75201 0.28694 0.12395 0.72384 33 24.8163 2.7195 1.826 1.2749 1.3809 0.80974 0.2837 0.86244 66 91.1426 1.8384 1.5303 0.95096 1.015 0.43215 0.26972 0.65495 99 100.4857 
20 0.0054385 5 0.00050149 3.51 4.25 6 1.3216 1.0211 0.56512 0.69451 0.32531 0.14381 0.51336 19 13.1956 3.6915 2.8551 1.6072 2.0303 0.93506 0.55061 1.5046 80 162.4251 1.6199 1.2218 0.70459 0.82997 0.33994 0.1557 0.60904 99 82.1666 
20 0.0054385 5 0.00050149 3.51 4.25 6.5 20.1302 10.62 2.6871 6.7807 1.3862 0.55721 7.2022 31 210.2018 4.92 3.3565 2.5663 2.4926 1.0113 0.52342 1.7098 68 169.4965 2.7018 1.5001 0.80977 1.2003 0.43063 0.19989 1.3136 99 118.8262 
20 0.0054385 5 0.00050149 3.51 4.25 7 15.4902 8.2469 2.3362 5.4296 1.4142 1.1838 5.8783 24 130.3094 5.7103 4.2651 2.8227 2.8438 0.90523 0.33634 1.9841 18 51.1887 2.0073 1.3732 0.72642 1.4592 0.41502 0.17035 2.4911 42 61.2857 
20 0.0054385 5 0.00050149 3.51 4.75 3 3.8228 2.9163 1.2493 1.6253 0.46766 0.085701 1.422 28 45.5073 1.7318 1.2842 0.90516 0.90013 0.28073 0.18719 0.62817 29 26.1038 1.1089 0.80627 0.49423 0.62448 0.25107 0.14816 0.53214 57 35.5954 
20 0.0054385 5 0.00050149 3.51 4.75 3.5 3.432 1.8305 1.0371 1.3636 0.47208 0.14066 1.1587 46 62.7263 5.667 3.6582 1.3951 2.3323 0.6255 0.2126 2.3443 91 212.2391 2.2015 1.3081 0.77909 1.0162 0.45332 0.18088 0.89397 137 139.2243 
20 0.0054385 5 0.00050149 3.51 4.75 4 19.3389 7.1949 1.7372 5.9947 0.70364 0.14162 9.3588 32 191.8314 11.1284 5.6826 3.7135 4.6291 1.6846 0.52012 4.1827 98 453.6549 6.9713 3.7331 1.4037 2.6758 0.66883 0.30176 3.0328 130 347.8553 
20 0.0054385 5 0.00050149 3.51 4.75 4.5 10.3699 4.6399 1.8564 3.4965 0.64201 0.15424 3.7725 35 122.3768 12.0657 5.4918 3.223 4.8061 1.5101 0.44013 4.8252 89 427.7459 7.0004 3.4597 1.0875 2.5203 0.46181 0.16821 3.0827 124 312.5121 
20 0.0054385 5 0.00050149 3.51 4.75 5 3.6952 2.2363 1.2264 1.8767 0.60811 0.24619 2.4004 72 135.1209 4.6927 3.3338 1.9135 2.4864 0.69594 0.19003 2.8098 56 139.2386 2.7348 1.9242 1.0655 1.4047 0.49188 0.23327 1.3239 128 179.8036 
20 0.0054385 5 0.00050149 3.51 4.75 5.5 3.0463 1.6776 0.77659 1.2907 0.35937 0.14818 1.4553 62 80.0264 3.719 1.9632 1.3028 1.5478 0.56245 0.15565 1.3663 76 117.6359 1.8638 1.3727 0.73036 0.90695 0.30928 0.1114 0.77095 138 125.1584 
20 0.0054385 5 0.00050149 3.51 4.75 6 5.9057 4.5484 1.6783 2.6308 0.45171 0.12975 2.6597 45 118.3875 4.5801 2.7929 1.6514 2.0971 0.92532 0.46858 1.6268 94 197.1232 2.401 1.4839 0.73166 1.1083 0.34568 0.13581 1.1142 139 154.053 
