sigD2 ep delsig delep x y z dn_p90 dn_p75 dn_p50 dn_mean dn_p25 dn_p10 dn_std dn_num dn_sum dp_p90 dp_p75 dp_p50 dp_mean dp_p25 dp_p10 dp_std dp_num dp_sum cur_p90 cur_p75 cur_p50 cur_mean cur_p25 cur_p10 cur_std cur_num cur_sum 

15 0.00097865 5 0.00097865 3.08 4.08 3 0.40763 0.37859 0.18128 0.19456 0.010536 0.0080574 0.21382 4 0.77825 0.67485 0.48406 0.36285 0.37108 0.24855 0.089787 0.22026 6 2.2265 0.29934 0.23362 0.15476 0.15684 0.051911 0.044584 0.09744 10 1.5684 
15 0.00097865 5 0.00097865 3.08 4.08 3.5 0.75034 0.68909 0.34955 0.43314 0.24077 0.13218 0.27115 15 6.4971 0.34308 0.29349 0.072147 0.16294 0.064538 0.054718 0.13643 5 0.81471 0.40282 0.33152 0.18418 0.2146 0.10139 0.039465 0.1397 20 4.2921 
15 0.00097865 5 0.00097865 3.08 4.08 4 0.6935 0.37651 0.29229 0.31539 0.16542 0.076681 0.2054 13 4.1 0.98794 0.56981 0.41433 0.44137 0.26133 0.038582 0.34388 5 2.2069 0.36485 0.29769 0.14276 0.17947 0.06022 0.042022 0.13288 18 3.2304 
15 0.00097865 5 0.00097865 3.08 4.08 4.5 0.6368 0.5882 0.53202 0.41929 0.26174 0.058362 0.22175 13 5.4507 0.35947 0.34155 0.2351 0.23316 0.1336 0.086265 0.11731 5 1.1658 0.16031 0.12309 0.062695 0.077543 0.025954 0.0095194 0.057803 18 1.3958 
15 0.00097865 5 0.00097865 3.08 4.08 5 0.78404 0.60094 0.4957 0.4589 0.34415 0.04568 0.27051 6 2.7534 0.44942 0.35332 0.28159 0.23594 0.074695 0.039513 0.16851 11 2.5953 0.26796 0.21919 0.11514 0.12869 0.054103 0.0072136 0.10789 17 2.1877 
15 0.00097865 5 0.00097865 3.08 4.08 5.5 0.86127 0.66295 0.2545 0.38108 0.15591 0.087344 0.30925 10 3.8108 0.3511 0.16087 0.064909 0.11287 0.0196 0.0086883 0.1371 8 0.903 0.2454 0.20691 0.10669 0.12016 0.032539 0.0056464 0.091372 18 2.1628 
15 0.00097865 5 0.00097865 3.08 4.08 6 1.0375 0.8708 0.51519 0.55279 0.28195 0.1087 0.35153 11 6.0807 0.33603 0.29235 0.16166 0.18567 0.10399 0.078277 0.10766 7 1.2997 0.26699 0.17779 0.1203 0.12219 0.030334 0.01236 0.097089 18 2.1995 
15 0.00097865 5 0.00097865 3.08 4.08 6.5 0.84012 0.60543 0.5369 0.44542 0.16986 0.097564 0.32636 11 4.8996 0.62078 0.36226 0.27277 0.27811 0.12114 0.067171 0.20943 9 2.503 0.45142 0.25033 0.14828 0.18704 0.073904 0.033999 0.14765 20 3.7407 
15 0.00097865 5 0.00097865 3.08 4.08 7 0.75076 0.70305 0.6161 0.54323 0.37833 0.21787 0.20717 9 4.8891 0.24168 0.24168 0.24168 0.24168 0.24168 0.24168 0 1 0.24168 0.3307 0.18153 0.13378 0.15133 0.055872 0.035566 0.12709 10 1.5133 
