feature SHAP_val importance
dn_p90 0.004323200788348913 0.004638554
dn_p75 0.010087723843753338 0.0075991387
dn_p50 0.008091015741229057 0.008050227
dn_mean 0.0021424246951937675 0.004865817
dn_p25 0.014647741802036762 0.012317425
dn_p10 0.0035132644698023796 0.005714285
dn_std 0.0098941745236516 0.0051400363
dn_num 0.004150804597884417 0.0033995372
dn_sum 0.004688257817178965 0.004942258
dp_p90 0.01565619371831417 0.019457182
dp_p75 0.0609612762928009 0.37336385
dp_p50 0.03006727807223797 0.092584744
dp_mean 0.025688588619232178 0.24320714
dp_p25 0.008906197734177113 0.008089323
dp_p10 0.009068706072866917 0.006378243
dp_std 0.01613393798470497 0.008935019
dp_num 0.011551554314792156 0.025577405
dp_sum 0.010280727408826351 0.011396412
cur_p90 0.02738291211426258 0.057548057
cur_p75 0.024861851707100868 0.045802645
cur_p50 0.007948433980345726 0.009239994
cur_mean 0.006346567068248987 0.017391944
cur_p25 0.0044738175347447395 0.0053430875
cur_p10 0.004071576986461878 0.0033865331
cur_std 0.008630765601992607 0.0068330136
cur_num 0.004413056652992964 0.003804284
cur_sum 0.004884110298007727 0.0049938317
