feature SHAP_val importance
dn_p90 0.009948830120265484 0.0045969905
dn_p75 0.011646081693470478 0.0045916
dn_p50 0.007617207244038582 0.004369611
dn_mean 0.0028553742449730635 0.0046678493
dn_p25 0.004863652400672436 0.0032649813
dn_p10 0.004183540586382151 0.0036920342
dn_std 0.01484390627592802 0.009254472
dn_num 0.004823075141757727 0.005762848
dn_sum 0.014979864470660686 0.03515923
dp_p90 0.020545270293951035 0.013651666
dp_p75 0.0060319057665765285 0.0057131946
dp_p50 0.02400830388069153 0.06664238
dp_mean 0.08862600475549698 0.6175478
dp_p25 0.014368961565196514 0.022138521
dp_p10 0.01109746377915144 0.007872991
dp_std 0.0297550056129694 0.021784794
dp_num 0.005575153045356274 0.0043003564
dp_sum 0.007171029224991798 0.0069423416
cur_p90 0.00656072236597538 0.0063012866
cur_p75 0.010528133250772953 0.013434379
cur_p50 0.007233323063701391 0.008690279
cur_mean 0.017510538920760155 0.02404807
cur_p25 0.02325086109340191 0.056914322
cur_p10 0.026849139481782913 0.032581165
cur_std 0.008173860609531403 0.0048436006
cur_num 0.01116620097309351 0.0052873823
cur_sum 0.009495970793068409 0.005945867
