feature SHAP_val importance
dn_p90 0.006382375955581665 0.005914384
dn_p75 0.006539291236549616 0.0048022326
dn_p50 0.007990430109202862 0.01712475
dn_mean 0.002778726862743497 0.0065621254
dn_p25 0.008065158501267433 0.010175734
dn_p10 0.004704885184764862 0.006099383
dn_std 0.012109855189919472 0.010030712
dn_num 0.020213672891259193 0.016600229
dn_sum 0.01435485202819109 0.015603199
dp_p90 0.006118816789239645 0.0102307815
dp_p75 0.017404906451702118 0.04609946
dp_p50 0.060574062168598175 0.40331468
dp_mean 0.005234433338046074 0.0051634624
dp_p25 0.06462786346673965 0.22976908
dp_p10 0.012346464209258556 0.008513664
dp_std 0.01158619299530983 0.009608731
dp_num 0.031868793070316315 0.017595397
dp_sum 0.029279442504048347 0.04827915
cur_p90 0.004041153471916914 0.0046766764
cur_p75 0.017945706844329834 0.011438369
cur_p50 0.0376267284154892 0.054436263
cur_mean 0.002349343616515398 0.005150057
cur_p25 0.01627076230943203 0.01876024
cur_p10 0.00937724206596613 0.010349646
cur_std 0.011807749047875404 0.010714813
cur_num 0.007584499195218086 0.0053268243
cur_sum 0.009376434609293938 0.0076598977
