feature SHAP_val importance
dn_p90 0.00518773403018713 0.009239513
dn_p75 0.005608396138995886 0.0083321575
dn_p50 0.006420344579964876 0.0081051765
dn_mean 0.004775672685354948 0.026914857
dn_p25 0.007289826404303312 0.005496798
dn_p10 0.005869466811418533 0.005583683
dn_std 0.014681448228657246 0.011528006
dn_num 0.011958136223256588 0.010307627
dn_sum 0.021905332803726196 0.036233503
dp_p90 0.020332518965005875 0.019824838
dp_p75 0.006422876380383968 0.009758577
dp_p50 0.020705850794911385 0.06258789
dp_mean 0.07356444001197815 0.59394175
dp_p25 0.005943751893937588 0.011553875
dp_p10 0.007408668287098408 0.0074400404
dp_std 0.017436757683753967 0.02058641
dp_num 0.006811428815126419 0.009070421
dp_sum 0.036137573421001434 0.033837102
cur_p90 0.0038941267412155867 0.00608819
cur_p75 0.005225550848990679 0.008320757
cur_p50 0.012498260475695133 0.019058986
cur_mean 0.009120744653046131 0.016136413
cur_p25 0.01370774395763874 0.019133335
cur_p10 0.009368006139993668 0.010247
cur_std 0.013631204143166542 0.016387872
cur_num 0.006450516637414694 0.00664498
cur_sum 0.006343791726976633 0.007640125
