feature SHAP_val importance
dn_p90 0.006693486124277115 0.018584263
dn_p75 0.006223063450306654 0.013308809
dn_p50 0.010640899650752544 0.015369748
dn_mean 0.0038365721702575684 0.012206259
dn_p25 0.009806261397898197 0.011846499
dn_p10 0.009458562359213829 0.013446167
dn_std 0.010484540835022926 0.016977346
dn_num 0.04473545774817467 0.06842457
dn_sum 0.02648146264255047 0.02564687
dp_p90 0.01032568421214819 0.01710237
dp_p75 0.042266376316547394 0.1776998
dp_p50 0.01017121784389019 0.062420417
dp_mean 0.006895130965858698 0.011545124
dp_p25 0.029677540063858032 0.21916199
dp_p10 0.006776207592338324 0.018793821
dp_std 0.008958255872130394 0.01788741
dp_num 0.025389937683939934 0.020466026
dp_sum 0.01967504993081093 0.03202985
cur_p90 0.013013049960136414 0.029857472
cur_p75 0.011688697151839733 0.029259413
cur_p50 0.013528473675251007 0.031044904
cur_mean 0.0062415143474936485 0.02202354
cur_p25 0.01492274645715952 0.0373627
cur_p10 0.014296729117631912 0.01828337
cur_std 0.017976706847548485 0.027471934
cur_num 0.014361555688083172 0.014040728
cur_sum 0.01167316734790802 0.017738612
